시도교육청코드,시도교육청명,행정표준코드,학교명,학년도,학기,시간표일자,학년,학급명,교시,수업내용,수정일자
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240617,4,1,1,수학,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240617,4,1,2,영어,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240617,4,1,3,국어,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240617,4,1,4,자율활동,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240617,4,1,5,미술,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240617,4,1,6,미술,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240618,4,1,1,사회,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240618,4,1,2,국어,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240618,4,1,3,과학,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240618,4,1,4,체육,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240618,4,1,5,수학,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240618,4,1,6,동아리활동,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240619,4,1,1,음악,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240619,4,1,2,국어,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240619,4,1,3,과학,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240619,4,1,4,과학,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240619,4,1,5,진로활동,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240620,4,1,1,수학,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240620,4,1,2,국어,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240620,4,1,3,음악,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240620,4,1,4,체육,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240620,4,1,5,사회,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240621,4,1,1,영어,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240621,4,1,2,국어,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240621,4,1,3,국어,20240619
N10,충청남도교육청,8231023,대왕초등학교,2024,1,20240621,4,1,4,체육,20240619

